lon,lat,de,dn
172.45,-43,0,0
172.4875,-43,0,0
172.525,-43,0,0
172.5625,-43,0,0
172.6,-43,0,0
172.6375,-43,0,0
172.675,-43,0,0
172.7125,-43,0,0
172.75,-43,0,0
172.7875,-43,0,0
172.825,-43,0,0
172.8625,-43,0,0
172.9,-43,0,0
172.9375,-43,0,0
172.975,-43,0,0
173.0125,-43,0,0
173.05,-43,0,0
173.0875,-43,0,0
173.125,-43,0,0
173.1625,-43,0,0
173.2,-43,0,0
173.2375,-43,0,0
173.275,-43,0,0
173.3125,-43,0,0
173.35,-43,0,0
173.3875,-43,0,0
173.425,-43,0,0
173.4625,-43,0,0
173.5,-43,0,0
173.5375,-43,0,0
173.575,-43,0,0
173.6125,-43,0,0
173.65,-43,0,0
173.6875,-43,0,0
173.725,-43,0,0
173.7625,-43,0,0
173.8,-43,0,0
173.8375,-43,0,0
173.875,-43,0,0
173.9125,-43,0,0
173.95,-43,0,0
173.9875,-43,0,0
174.025,-43,0,0
174.0625,-43,0,0
174.1,-43,0,0
174.1375,-43,0,0
174.175,-43,0,0
174.2125,-43,0,0
174.25,-43,0,0
174.2875,-43,0,0
174.325,-43,0,0
174.3625,-43,0,0
174.4,-43,0,0
174.4375,-43,0,0
174.475,-43,0,0
174.5125,-43,0,0
174.55,-43,0,0
174.5875,-43,0,0
174.625,-43,0,0
174.6625,-43,0,0
174.7,-43,0,0
174.7375,-43,0,0
174.775,-43,0,0
174.8125,-43,0,0
174.85,-43,0,0
174.8875,-43,0,0
174.925,-43,0,0
172.45,-42.96875,0,0
172.4875,-42.96875,0,0
172.525,-42.96875,0,0
172.5625,-42.96875,0,0
172.6,-42.96875,0,0
172.6375,-42.96875,0,0
172.675,-42.96875,0,0
172.7125,-42.96875,0,0
172.75,-42.96875,0,0
172.7875,-42.96875,0,0
172.825,-42.96875,0,0
172.8625,-42.96875,0,0
172.9,-42.96875,0,0
172.9375,-42.96875,0,0
172.975,-42.96875,0,0
173.0125,-42.96875,0,0
173.05,-42.96875,0,0
173.0875,-42.96875,-0.00002,0.00013
173.125,-42.96875,-0.00004,0.00026
173.1625,-42.96875,-0.00006,0.00038
173.2,-42.96875,-0.00008,0.00051
173.2375,-42.96875,-0.00006,0.00038
173.275,-42.96875,-0.00004,0.00026
173.3125,-42.96875,-0.00002,0.00013
173.35,-42.96875,0,0
173.3875,-42.96875,0,0
173.425,-42.96875,0,0
173.4625,-42.96875,0,0
173.5,-42.96875,0,0
173.5375,-42.96875,0,0
173.575,-42.96875,0,0
173.6125,-42.96875,0,0
173.65,-42.96875,0,0
173.6875,-42.96875,0,0
173.725,-42.96875,0,0
173.7625,-42.96875,0,0
173.8,-42.96875,0,0
173.8375,-42.96875,0,0
173.875,-42.96875,0,0
173.9125,-42.96875,0,0
173.95,-42.96875,0,0
173.9875,-42.96875,0,0
174.025,-42.96875,0,0
174.0625,-42.96875,0,0
174.1,-42.96875,0,0
174.1375,-42.96875,0,0
174.175,-42.96875,0,0
174.2125,-42.96875,0,0
174.25,-42.96875,0,0
174.2875,-42.96875,0,0
174.325,-42.96875,0,0
174.3625,-42.96875,0,0
174.4,-42.96875,0,0
174.4375,-42.96875,0,0
174.475,-42.96875,0,0
174.5125,-42.96875,0,0
174.55,-42.96875,0,0
174.5875,-42.96875,0,0
174.625,-42.96875,0,0
174.6625,-42.96875,0,0
174.7,-42.96875,0,0
174.7375,-42.96875,0,0
174.775,-42.96875,0,0
174.8125,-42.96875,0,0
174.85,-42.96875,0,0
174.8875,-42.96875,0,0
174.925,-42.96875,0,0
172.45,-42.9375,0,0
172.4875,-42.9375,0,0
172.525,-42.9375,0,0
172.5625,-42.9375,0,0
172.6,-42.9375,0,0
172.6375,-42.9375,0,0
172.675,-42.9375,0,0
172.7125,-42.9375,0,0
172.75,-42.9375,0,0
172.7875,-42.9375,0,0
172.825,-42.9375,0,0
172.8625,-42.9375,0,0
172.9,-42.9375,0,0
172.9375,-42.9375,0,0
172.975,-42.9375,0,0
173.0125,-42.9375,0,0
173.05,-42.9375,0,0
173.0875,-42.9375,0,0
173.125,-42.9375,0,0
173.1625,-42.9375,0,0
173.2,-42.9375,0,0
173.2375,-42.9375,0,0
173.275,-42.9375,0,0
173.3125,-42.9375,0,0
173.35,-42.9375,0,0
173.3875,-42.9375,0,0
173.425,-42.9375,0,0
173.4625,-42.9375,0,0
173.5,-42.9375,0,0
173.5375,-42.9375,0,0
173.575,-42.9375,0,0
173.6125,-42.9375,0,0
173.65,-42.9375,0,0
173.6875,-42.9375,0,0
173.725,-42.9375,0,0
173.7625,-42.9375,0,0
173.8,-42.9375,0,0
173.8375,-42.9375,0,0
173.875,-42.9375,0,0
173.9125,-42.9375,0,0
173.95,-42.9375,0,0
173.9875,-42.9375,0,0
174.025,-42.9375,0,0
174.0625,-42.9375,0,0
174.1,-42.9375,0,0
174.1375,-42.9375,0,0
174.175,-42.9375,0,0
174.2125,-42.9375,0,0
174.25,-42.9375,0,0
174.2875,-42.9375,0,0
174.325,-42.9375,0,0
174.3625,-42.9375,0,0
174.4,-42.9375,0,0
174.4375,-42.9375,0,0
174.475,-42.9375,0,0
174.5125,-42.9375,0,0
174.55,-42.9375,0,0
174.5875,-42.9375,0,0
174.625,-42.9375,0,0
174.6625,-42.9375,0,0
174.7,-42.9375,0,0
174.7375,-42.9375,0,0
174.775,-42.9375,0,0
174.8125,-42.9375,0,0
174.85,-42.9375,0,0
174.8875,-42.9375,0,0
174.925,-42.9375,0,0
172.45,-42.90625,0,0
172.4875,-42.90625,0,0
172.525,-42.90625,0,0
172.5625,-42.90625,0,0
172.6,-42.90625,0,0
172.6375,-42.90625,0,0
172.675,-42.90625,0,0
172.7125,-42.90625,0,0
172.75,-42.90625,0,0
172.7875,-42.90625,0,0
172.825,-42.90625,0,0
172.8625,-42.90625,0,0
172.9,-42.90625,0,0
172.9375,-42.90625,0,0
172.975,-42.90625,0,0
173.0125,-42.90625,0,0
173.05,-42.90625,0,0
173.0875,-42.90625,0,0
173.125,-42.90625,0,0
173.1625,-42.90625,0,0
173.2,-42.90625,0,0
173.2375,-42.90625,0,0
173.275,-42.90625,0,0
173.3125,-42.90625,0,0
173.35,-42.90625,0,0
173.3875,-42.90625,0,0
173.425,-42.90625,0,0
173.4625,-42.90625,0,0
173.5,-42.90625,0,0
173.5375,-42.90625,0,0
173.575,-42.90625,0,0
173.6125,-42.90625,0,0
173.65,-42.90625,0,0
173.6875,-42.90625,0,0
173.725,-42.90625,0,0
173.7625,-42.90625,0,0
173.8,-42.90625,0,0
173.8375,-42.90625,0,0
173.875,-42.90625,0,0
173.9125,-42.90625,0,0
173.95,-42.90625,0,0
173.9875,-42.90625,0,0
174.025,-42.90625,0,0
174.0625,-42.90625,0,0
174.1,-42.90625,0,0
174.1375,-42.90625,0,0
174.175,-42.90625,0,0
174.2125,-42.90625,0,0
174.25,-42.90625,0,0
174.2875,-42.90625,0,0
174.325,-42.90625,0,0
174.3625,-42.90625,0,0
174.4,-42.90625,0,0
174.4375,-42.90625,0,0
174.475,-42.90625,0,0
174.5125,-42.90625,0,0
174.55,-42.90625,0,0
174.5875,-42.90625,0,0
174.625,-42.90625,0,0
